kind,name,is_served,fold,window,level,level_order,wmape,wrmsse,mape,bias
Reconciliation,"MinT, in-sample weights",True,holdout,holdout,item,6,0.7270157491554708,0.8074151741838362,0.5688273617705422,-0.05800009215086912
Reconciliation,"MinT, out-of-sample weights",False,holdout,holdout,department,5,0.09859823023365953,0.5742959438598402,0.12102210928877764,-0.05005340847307508
Reconciliation,"MinT, out-of-sample weights",False,holdout,holdout,category,4,0.08269237501387731,0.5184269111703569,0.08713021145412168,-0.05005340847307507
Reconciliation,"MinT, out-of-sample weights",False,holdout,holdout,store,3,0.07236067999990779,0.48595844738214017,0.07082615312079292,-0.05005340847307496
Reconciliation,"MinT, out-of-sample weights",False,holdout,holdout,state,2,0.05850846895153404,0.4169752052008797,0.05527803670229276,-0.05005340847307499
Reconciliation,"MinT, out-of-sample weights",False,holdout,holdout,total,1,0.05850846895153404,0.4169752052008797,0.05527803670229276,-0.05005340847307499
Reconciliation,"MinT, out-of-sample weights",False,holdout,holdout,item,6,0.7274895537529822,0.8060091049000535,0.5698620432828005,-0.05005340847307509
Base model,Naive,False,backtest_1,backtest,department,5,0.36551222541841005,1.8335380904569003,0.4658339816451049,0.34464892782426776
Base model,Naive,False,backtest_1,backtest,category,4,0.353683152458159,1.8965160428533507,0.44700317127031314,0.34464892782426776
Base model,Naive,False,backtest_1,backtest,store,3,0.34779108917364016,2.0187837575647296,0.396052385891625,0.34464892782426776
Base model,Naive,False,backtest_1,backtest,state,2,0.34464892782426776,2.1235602809584537,0.37681578391798226,0.34464892782426776
Base model,Naive,False,backtest_1,backtest,total,1,0.34464892782426776,2.1235602809584537,0.37681578391798226,0.34464892782426776
Base model,Naive,False,backtest_1,backtest,item,6,1.0685391605648535,1.2344983754089802,1.003213222632169,0.34464892782426776
Base model,Seasonal naive,False,backtest_1,backtest,department,5,0.13286970449790794,0.7613914376972412,0.1935057696449583,-0.035033668933054395
Base model,Seasonal naive,False,backtest_1,backtest,category,4,0.11055177824267783,0.6896719616619663,0.12992350663039495,-0.035033668933054395
Base model,Seasonal naive,False,backtest_1,backtest,store,3,0.08915320998953975,0.6178618253703485,0.08975304035948255,-0.035033668933054395
Base model,Seasonal naive,False,backtest_1,backtest,state,2,0.07895855125523013,0.5862500278375748,0.07973481491792597,-0.035033668933054395
Base model,Seasonal naive,False,backtest_1,backtest,total,1,0.07895855125523013,0.5862500278375748,0.07973481491792597,-0.035033668933054395
Base model,Seasonal naive,False,backtest_1,backtest,item,6,0.8847288506799164,1.08326799753747,0.8449884488082253,-0.035033668933054395
Base model,LightGBM global,False,backtest_1,backtest,department,5,0.124086629057147,0.6555020284223971,0.15396906318633832,-0.0757249554471485
Base model,LightGBM global,False,backtest_1,backtest,category,4,0.10597625859115664,0.6115963792079838,0.10322253580714243,-0.07572495544714847
Base model,LightGBM global,False,backtest_1,backtest,store,3,0.091513598294439,0.5747296436035272,0.08551240526178118,-0.07572495544714854
Base model,LightGBM global,False,backtest_1,backtest,state,2,0.0859830963869325,0.5546846378710266,0.08274382743722748,-0.075724955447149
Base model,LightGBM global,False,backtest_1,backtest,total,1,0.0859830963869325,0.5546846378710266,0.08274382743722748,-0.075724955447149
Base model,LightGBM global,False,backtest_1,backtest,item,6,0.7445625240126006,0.8357390789586692,0.5696930154730758,-0.07572495544714843
Base model,LightGBM local,False,backtest_1,backtest,department,5,0.13781993472581386,0.7138909526862804,0.15912296924109345,-0.09531537348980332
Base model,LightGBM local,False,backtest_1,backtest,category,4,0.12239805573410337,0.6860605444347202,0.11391358327102565,-0.0953153734898034
Base model,LightGBM local,False,backtest_1,backtest,store,3,0.11015752206876904,0.6674461875863299,0.10618680568659744,-0.09531537348980361
Base model,LightGBM local,False,backtest_1,backtest,state,2,0.10275897387395262,0.6473544050236402,0.09929666622434011,-0.09531537348980319
Base model,LightGBM local,False,backtest_1,backtest,total,1,0.10275897387395262,0.6473544050236402,0.09929666622434011,-0.09531537348980319
Base model,LightGBM local,False,backtest_1,backtest,item,6,0.7464399956576714,0.8454777724421845,0.5720072294995227,-0.09531537348980336
Base model,SARIMA,False,backtest_1,backtest,department,5,0.10774807590455009,0.6088209654381513,0.16156746539955186,-0.02205272042169013
Base model,SARIMA,False,backtest_1,backtest,category,4,0.08752817792980905,0.543164332924575,0.09988639799722526,-0.026923902024448585
Base model,SARIMA,False,backtest_1,backtest,store,3,0.07195657815708417,0.48961631254489724,0.07208774616604506,-0.026342850555316346
Base model,SARIMA,False,backtest_1,backtest,state,2,0.06512429031292459,0.4472077176366866,0.06515979923085843,-0.021191711312231003
Base model,SARIMA,False,backtest_1,backtest,total,1,0.06512429031292459,0.4472077176366866,0.06515979923085843,-0.021191711312231003
Base model,Prophet,False,backtest_1,backtest,store,3,0.06298817124561519,0.46784432255212416,0.06127690468447238,-0.032864675071500385
Base model,Prophet,False,backtest_1,backtest,state,2,0.05233863937599064,0.39476233359143703,0.04857029700698615,-0.03325115800781283
Base model,Prophet,False,backtest_1,backtest,total,1,0.05233863937599064,0.39476233359143703,0.04857029700698615,-0.03325115800781283
Base model,Naive,False,backtest_2,backtest,department,5,0.3464992475849905,1.7981391816171977,0.515674946762524,0.3114593614990049
Base model,Naive,False,backtest_2,backtest,category,4,0.33577531107910874,1.853679259982441,0.40884498882193315,0.3114593614990049
Base model,Naive,False,backtest_2,backtest,store,3,0.32561770845131954,1.9563592503206728,0.3726676218734569,0.3114593614990049
Base model,Naive,False,backtest_2,backtest,state,2,0.3223693791362599,2.058049642980173,0.35205184924833144,0.3114593614990049
Base model,Naive,False,backtest_2,backtest,total,1,0.3223693791362599,2.058049642980173,0.35205184924833144,0.3114593614990049
Base model,Naive,False,backtest_2,backtest,item,6,1.0742504166599245,1.2187478664095814,1.0066459486997994,0.3114593614990049
Base model,Seasonal naive,False,backtest_2,backtest,department,5,0.11734842478277051,0.7645362480053898,0.274135673269259,-0.02595427258458601
Base model,Seasonal naive,False,backtest_2,backtest,category,4,0.09822656591317293,0.7044832548345659,0.1228663692786755,-0.02595427258458601
Base model,Seasonal naive,False,backtest_2,backtest,store,3,0.07707399556641478,0.6288167811058442,0.09157081907144447,-0.02595427258458601
Base model,Seasonal naive,False,backtest_2,backtest,state,2,0.06698516205239398,0.480847672485609,0.06536125387372459,-0.02595427258458601
Base model,Seasonal naive,False,backtest_2,backtest,total,1,0.06698516205239398,0.480847672485609,0.06536125387372459,-0.02595427258458601
Base model,Seasonal naive,False,backtest_2,backtest,item,6,0.8934968689827025,1.0936997469127165,0.849457666919789,-0.02595427258458601
